Game,Date,Round,Home.Team,Home.Goals,Home.Behinds,Home.Points,Away.Team,Away.Goals,Away.Behinds,Away.Points,Venue,Margin,Season,Round.Type,Round.Number,,
13794,17/04/2011,R4,Fremantle,18,19,127,North Melbourne,14,14,98,Subiaco,29,2011,Regular,4,,0
13795,21/04/2011,R5,Brisbane Lions,11,10,76,St Kilda,13,11,89,Gabba,-13,2011,Regular,5,,0
13796,23/04/2011,R5,Port Adelaide,15,11,101,Gold Coast,15,14,104,Football Park,-3,2011,Regular,5,,0
13797,23/04/2011,R5,Carlton,11,19,85,Adelaide,12,7,79,Docklands,6,2011,Regular,5,,0
13798,24/04/2011,R5,North Melbourne,14,19,103,Richmond,17,10,112,Docklands,-9,2011,Regular,5,,0
13799,25/04/2011,R5,Essendon,11,11,77,Collingwood,16,11,107,M.C.G.,-30,2011,Regular,5,,0
13800,25/04/2011,R5,Fremantle,12,13,85,Footscray,11,12,78,Subiaco,7,2011,Regular,5,,0
13801,26/04/2011,R5,Hawthorn,15,8,98,Geelong,17,15,117,M.C.G.,-19,2011,Regular,5,,0
13802,28/04/2011,R6,West Coast,15,16,106,Melbourne,6,16,52,Subiaco,54,2011,Regular,6,,0
13803,29/04/2011,R6,Sydney,10,11,71,Carlton,12,15,87,S.C.G.,-16,2011,Regular,6,,0
13804,30/04/2011,R6,North Melbourne,18,25,133,Port Adelaide,10,13,73,Docklands,60,2011,Regular,6,,0
13805,30/04/2011,R6,Richmond,18,16,124,Brisbane Lions,14,14,98,M.C.G.,26,2011,Regular,6,,0
13806,30/04/2011,R6,Adelaide,13,12,90,St Kilda,9,17,71,Football Park,19,2011,Regular,6,,0
13807,1/05/2011,R6,Essendon,31,11,197,Gold Coast,8,10,58,Docklands,139,2011,Regular,6,,0
13808,1/05/2011,R6,Collingwood,15,15,105,Footscray,8,9,57,M.C.G.,48,2011,Regular,6,,0
13809,6/05/2011,R7,Port Adelaide,10,12,72,Hawthorn,15,14,104,Football Park,-32,2011,Regular,7,,0
13810,7/05/2011,R7,Footscray,10,5,65,Sydney,10,13,73,Manuka Oval,-8,2011,Regular,7,,0
13811,7/05/2011,R7,Geelong,19,13,127,North Melbourne,9,7,61,Kardinia Park,66,2011,Regular,7,,0
